B15 - Pronomi Combinati
Я говорю тебе это (dire).;Te lo dico.
Я объясняю тебе правду (verità).;Te la spiego.
Я даю тебе книгу (libro).;Te lo do.
Я рассказываю тебе историю (storia).;Te la racconto.
Я показываю тебе фото (foto).;Te la mostro.
Я отправляю тебе письмо (lettera).;Te la mando.
Я говорю ему это (dire).;Glielo dico.
Я объясняю ему проблему (problema).;Glielo spiego.
Я даю ему возможность (possibilità).;Gliela do.
Я рассказываю ему новость (notizia).;Gliela racconto.
Я показываю ему дорогу (strada).;Gliela mostro.
Я говорю ей это (dire).;Glielo dico.
Я объясняю ей ситуацию (situazione).;Gliela spiego.
Я даю ей совет (consiglio).;Glielo do.
Я рассказываю ей секрет (segreto).;Glielo racconto.
Я показываю ей дом (casa).;Gliela mostro.
Ты говоришь мне это (dire).;Me lo dici.
Ты объясняешь мне смысл (senso).;Me lo spieghi.
Ты даешь мне возможность (possibilità).;Me la dai.
Ты рассказываешь мне историю (storia).;Me la racconti.
Ты показываешь мне дорогу (strada).;Me la mostri.
Он говорит мне это (dire).;Me lo dice.
Он объясняет мне причину (causa).;Me la spiega.
Он дает мне надежду (speranza).;Me la dà.
Он рассказывает мне правду (verità).;Me la racconta.
Я говорю вам это (dire).;Ve lo dico.
Я объясняю вам детали (dettagli).;Ve li spiego.
Я даю вам информацию (informazione).;Ve la do.
Я рассказываю вам историю (storia).;Ve la racconto.
Я показываю вам результат (risultato).;Ve lo mostro.
Я говорю им это (dire).;Glielo dico.
Я объясняю им все (tutto).;Glielo spiego.
Я даю им возможность (possibilità).;Gliela do.
Я рассказываю им правду (verità).;Gliela racconto.
Я показываю им решение (soluzione).;Gliela mostro.
Ты приносишь мне кофе (caffè).;Me lo porti.
Она отправляет тебе письмо (lettera).;Te la manda.
Мы показываем ему документы (documenti).;Glieli mostriamo.
Вы даете ей ключи (chiavi).;Gliele date.
Они объясняют нам правила (regole).;Ce le spiegano.
