C04 - Discorso Indiretto: главное в настоящем
Он говорит (dire), что я дома (casa);Dice che sono a casa
Она говорит (dire), что ты работаешь (lavorare);Dice che lavori
Он говорит (dire), что мы друзья (amico);Dice che siamo amici
Она говорит (dire), что они придут (venire);Dice che verranno
Он говорит (dire), что я знаю (sapere) это;Dice che lo so
Она говорит (dire), что ты хочешь (volere) есть (mangiare);Dice che vuoi mangiare
Он говорит (dire), что мы любим (amare) музыку (musica);Dice che amiamo la musica
Она говорит (dire), что они счастливы (essere felice);Dice che sono felici
Он говорит (dire), что я иду (andare) туда;Dice che vado lì
Она говорит (dire), что ты здесь;Dice che sei qui
Он говорит (dire), что мы учимся (studiare);Dice che studiamo
Она говорит (dire), что они говорят (parlare) по-итальянски (italiano);Dice che parlano italiano
Он спрашивает (chiedere), знаю ли я это;Mi chiede se lo so
Она спрашивает (chiedere), хочешь ли ты есть (mangiare);Mi chiede se vuoi mangiare
Он спрашивает (chiedere), идём ли мы туда;Mi chiede se andiamo lì
Она спрашивает (chiedere), говорят ли они по-итальянски (italiano);Mi chiede se parlano italiano
Он спрашивает (chiedere), дома ли я;Mi chiede se sono a casa
Она спрашивает (chiedere), работаешь ли ты;Mi chiede se lavori
Он спрашивает (chiedere), друзья ли мы;Mi chiede se siamo amici
Она спрашивает (chiedere), придут ли они;Mi chiede se verranno
Он говорит (dire) мне прийти (venire);Mi dice di venire
Она говорит (dire) мне подождать (aspettare);Mi dice di aspettare
Он говорит (dire) мне остаться (restare) здесь;Mi dice di restare qui
Она говорит (dire) мне пойти (andare) туда;Mi dice di andare lì
Он говорит (dire) мне изучать (studiare) итальянский (italiano);Mi dice di studiare italiano
Она говорит (dire) мне делать (fare) это;Mi dice di farlo
Он говорит (dire) мне не уходить (partire);Mi dice di non partire
Она говорит (dire) мне не бояться (avere paura);Mi dice di non avere paura
Он говорит (dire) мне посмотреть (guardare) это;Mi dice di guardarlo
Она говорит (dire) мне написать (scrivere) тебе;Mi dice di scriverti
Он говорит (dire) мне помочь (aiutare) ей;Mi dice di aiutarla
Она говорит (dire) мне встретить (incontrare) их;Mi dice di incontrarli
Он говорит (dire) мне быть (essere) счастливым (felice);Mi dice di essere felice
Она говорит (dire) мне остаться (restare) дома (casa);Mi dice di restare a casa
Он говорит (dire) мне прийти (venire) завтра (domani);Mi dice di venire domani
Она говорит (dire) мне работать (lavorare) сегодня (oggi);Mi dice di lavorare oggi
Он говорит (dire) мне сказать (dire) правду (verità);Mi dice di dire la verità
Она говорит (dire) мне знать (sapere) это;Mi dice di saperlo
